title,price,location,details,description,metro_stations,conditions_financieres,energy_GES,ref_date,nb_rooms,nb_bedrooms,surface
Location maison 130 m² Bourges (18000),1250,Bourges (18000),"['4 pièces', '3 chambres', '130 m²', 'Terrain 500 m²']","Maison 130m2, 150m2 au sol, centre historique, quartier cathédrale, grande salle de séjour avec cuisine à l'américaine, trois chambres, une au rez de chaussée avec salle de bain baignoire et douche, WC séparé, lingerie, une pièce de rangement, deux chambres à l'étage avec une salle de douche.
petit jardin avec parking devant la maison.
tél 06 61 74 37 45","['Conditions financières\nLoyer charges comprises\n1.250 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n1.200 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.250 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n1.200 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.250 € / mois\nDont charges\n50 € / mois\nDépôt de garantie\n1.200 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.250 € / mois', 'Dont charges\n50 € / mois', 'Dépôt de garantie\n1.200 €']","{'energy': 'D', 'GES': 'C'}",Réf. : F12/0438 / 28 février 2024,,,
Location meublée chambre 11 m² Argenteuil (95100),600,Argenteuil (95100),"['1 pièce', '1 chambre', '11 m²']","1 chambre est disponible dans un grand appartement lumineux refait à neuf.

L'appartement
Il s'agit d'une colocation de 4 chambres, dont 1 disponible, dans un appartement de 84m² entièrement meublé et équipé dans un style Loft Parisien, composé de :

1 grande chambre (11 m²) entièrement meublée (lit simple avec rangements intégrés, bureau, bibliothèque, grand dressing, luminaire connecté Bluetooth...) avec double vitrage

Salon de 20m² (canapé, Smart TV 50 pouces, meuble TV avec rangements, luminaires connectés Bluetooth...)

Cuisine salle à manger (table et chaises hautes, four, micro-onde, plaques à induction de 90cm permettant de cuisiner à 2-3 personnes en même temps, bouilloire, machine à café Senseo, lave-vaisselle, grand frigidaire avec congélateurs inclus et distributeur d’eau, lave-linge/sèche-linge, ainsi que tous les ustensiles de cuisine nécessaires)

Salle de bain (deux grandes vasques et meubles de rangement, une grande douche et un wc)
Un second wc, indépendant.

Les chambres sont louées 510€ + 90€ de charges (incluant les charges de copropriété, eau froide, eau chaude, chauffage, EDF, femme de ménage, Wifi) soit 600€ par chambre TOUT inclus.
Location en bail meublé, éligible aux APL.

La vie du quartier
L'appartement est situé dans le centre-ville d'Argenteuil, proche de la gare. La résidence dispose d’un grand parc fleuri et arboré et est surveillée par un gardien.

- Tous types de commerces à proximité immédiate : un Géant Casino avec galerie marchande dans laquelle vous trouverez Sephora, Celio, Action etc., le Franxprix ouvert de 9h à 22h tous les jours, Monoprix, des boulangeries, des pharmacies etc... à moins de 2min)
- ️ Proches de deux laboratoires d'analyse et de différents médecins, à 15 min à pied du Centre Hospitalier d'Argenteuil
- Marché 2 jours par semaine à 10 min à pied
- Grand parc des Berges à 4 min à pied, proche de la Seine.","['Argenteuil', 'Valmy Nord', ""Val d'Argenteuil""]","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n600 € / mois', 'Dont charges\n90 € / mois', 'Dépôt de garantie\n1.020 €']","{'energy': 'B', 'GES': 'B'}",Réf. : C75/1571 / 28 février 2024,,,
Location meublée appartement 3 pièces 55 m² Drancy (93700),880,Drancy (93700),"['3 pièces', '2 chambres', '55 m²']","Autobus à 150 m (ligne 251 métro Bobigny, RER B). Dans résidence sécurisée et verdoyante.
Au 2ème, 3 pièces meublés ou possibilité en semi-meublés , 55 m2 : salon 20 m2 (fauteuils, table, chaises), cuisine équipée (réfrigérateur-congélateur, gazinière, chauffe-eau gaz de ville), chauffage électrique, double vitrage, wc indépendants, salle de bains (lavabo, baignoire), 2 chambres 13 m2 et 10 m2 (armoire, penderies intégrées, chacune avec grand lit 2 personnes avec possibilité d'apporter sa literie).

Emplacement de parking privatif.

Prises téléphone, TV et fibre optique,

Loyer charges comprises sauf électricité.

Garanties demandées : Caution : 2 mois de loyer, revenus minimum 2500 €.

Avis d'imposition, 3 dernières fiches de paie, carte d'identité.
Si absent, merci de laisser un message téléphonique ou de préférence un courriel pour un premier contact avec le plus de précisions possibles (nombre de personnes, revenu ).","['Conditions financières\nLoyer charges comprises\n880 € / mois\nDont charges\n100 € / mois\nDépôt de garantie\n1.560 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n880 € / mois\nDont charges\n100 € / mois\nDépôt de garantie\n1.560 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n880 € / mois\nDont charges\n100 € / mois\nDépôt de garantie\n1.560 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG\nGES\nA\nB\nC\nD\nE\nF\nG']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n880 € / mois', 'Dont charges\n100 € / mois', 'Dépôt de garantie\n1.560 €']","{'energy': 'D', 'GES': 'D'}",Réf. : 994/A665 / 28 février 2024,,,
Location meublée maison 200 m² A Partager Noisy-Le-Grand (93160),650,Noisy-le-Grand (93160),"['7 pièces', '1 chambre', '200 m²', 'Terrain 70 m²']","Grande maison 200m2 cosy et meublée a partager 7 pièces et jardin au calme - quartier Marnois/Noisy

7 Rue de Stalingrad, Noisy-le-Grand, IDF 93160

Grande maison premium meublée :

English spoken ! Foreign students welcome ! Direct Propriétaire.

Visite virtuelle disponible et plus d'infos ! rendez-vous sur :
https://laguesthouse.hd.pics/noisy

Maison cosy 7 pièces avec jardin au calme.

Venez découvrir cette colocation de 7 chambres de 190 m². La colocation dans cette maison s'étend sur trois niveaux et dispose également d'un jardin arrière et terrasse avant.
Sécurisée : Porte blindée, Interphone, code accès porte entrée, Vidéo-protection 24/24.

Les chambres chaleureuses :
Les chambres se situent aux rez-de-chaussée et 1er étage, serrures individuelles.
Elles sont meublées avec grand lit simple 120x190, matelas 20cm, bureau, miroir, dressing.
Literie neuve.

Les espaces communs :
Ce niveau se caractérise principalement par un grand séjour lumineux avec une cuisine semi-ouverte. Le salon est meublé avec un élégant canapé, une télévision à écran plat montée au mur, ainsi qu'une table à manger.
Un espace chill confortable à l'écart de la salle TV.
La cuisine est équipée d'un réfrigérateur américain, d'un micro-ondes (x2), de plaques de cuisson(x2) et d'un lave-vaisselle. tout l'équipement nécessaire pour se faire de bons plats
la buanderie dispose de machine à laver (x2) et sèche-linge.

Sanitaires :
Salle de bains avec sèche-serviettes x2
Wc séparés x2.

Le quartier :
Pour répondre à tous vos besoins du quotidien, la colocation bénéficie d'un emplacement idéal, étant à proximité à pied :
- arrêt de bus 220, 320, N34 (arrêt Pointe de Gournay) 3 min.
- Supermarché Super U + Kebab + Tabac (2 min), G20 +Pharmacie + Boulangerie (8 min).
- Point relais colis Amazon (1 min)
- Laverie (2 min)
- Supermarché Picard (2 min)
De plus, vous découvrirez à proximité les bords de Marne, un lieu propice aux promenades 12 min.
Dans un rayon de 15 min de marche, Gare Noisy-Champs (RER A) + Centre Commercial + Futur métro L15-16
Vous serez proches des universités / écoles ENPC, UPEM, ESIEE, ENSA, ESO Suposteo, 15 min
Disneyland Paris en 20 min.

Services et équipements :
Internet Fibre Wifi-6 (inclus)
Chauffage, Eau, Électricité (inclus)
Assurance Habitation (inclus)
Ménage Hebdomadaire partie communes (inclus)
Ménage Partie privatives (Option payante)
Netflix (inclus).

Profils :
La colocation n'est pas adaptée pour accueillir des enfants ou animaux, les personnes non respectueuses des autres colocataires et de la propreté des lieux.
Pacte de colocation à l'entrée.

Finances :
- Bail individuel à la chambre.
- Pas de caution solidaire, chacun est libre de partir quand il veut, à condition de respecter un mois de préavis.
- Garant ou Assurance type LouerAgile (Jinka); GarantMe ; Visale
- caution de 1.5 mois hors charges.
- Montant des charges : 50 € / mois (inclus)
- Modalité de récupération des charges locatives : forfait.

Pour candidater :
- Pièce d'identité
- Justificatif de statut étudiant si non-salarié
- Contrat de travail CDI + 3 dernières fiches de paie
- dernier avis d'imposition
- Même documents demandés pour les garants, ou bien
- Si la garantie est assurée par une assurance (Jinka; GarantMe; Visale ; etc..) fournir l'attestation de prise en charge de votre dossier.

Consommation énergétique classe -B-
Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 830 et 1160 par an. Prix moyens des énergies indexés sur l'année 2021 (abonnements compris).

Chambres en colocation.","['Noisy - Champs', 'Noisy-le-Grand - Mont d’Est', 'Les Yvris Noisy le Grand']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n650 € / mois', 'Dont charges\n50 € / mois', 'Dépôt de garantie\n1.050 €']","{'energy': 'B', 'GES': 'A'}",Réf. : F14/0487 / 28 février 2024,,,
Location meublée maison 80 m² Gassin (83580),1950,Gassin (83580),"['3 pièces', '2 chambres', '80 m²', 'Terrain 50 m²']","Maison meublée à Gassin village (plus beau village de France) avec jardin (à 10 min de Saint-Tropez, des plages) décoration soignée et toute équipée.

A proximité des restaurants, plages à 10 minutes, écoles, commerces, centre commercial La Foux, terrain de jeux et salle de sport
Accès gares et aéroports directs.

Elle comprend : Rez-de-chaussée : séjour/cheminée avec deux portes fenêtres ouvertes sur tonnelle glycine et jardinet, cuisine américaine équipée, buanderie et wc.

Étage : 1 chambre avec salle de douche, wc.
1 grande chambre avec son salon, balcon et salle de bains ouverte sur la chambre.
Libre.
Charges additionnelles (EDF, eau, frais entretien jardin et ménage)

Offre Spéciale : En cas de location longue durée (Bail 1 an ou plus) : remise de 10% pour un paiement d'avance pour 12 mois.","['Conditions financières\nLoyer charges comprises\n1.950 € / mois\nDont charges\n200 € / mois\nDépôt de garantie\n3.000 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.950 € / mois\nDont charges\n200 € / mois\nDépôt de garantie\n3.000 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.950 € / mois\nDont charges\n200 € / mois\nDépôt de garantie\n3.000 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.950 € / mois', 'Dont charges\n200 € / mois', 'Dépôt de garantie\n3.000 €']","{'energy': 'Not Available', 'GES': 'Not Available'}",Réf. : B48/0103 / 28 février 2024,,,
Location meublée studio 20 m² Montmagny (95360),700,Montmagny (95360),"['1 pièce', '20 m²']","Lisez toute l'annonce merci. Résidence pour étudiants et jeunes salariés !

Studio entièrement meublé rénové :

- Espace chambre (rangements, canapé-lit neuf très confortable)

- Salle d'eau (douche, lavabo, wc)

- Cuisine toute équipée avec bar et chaise haute (frigidaire et rangements , four-micro-ondes et four, plaques de cuisson, couverts, vaisselle, TV, table, chaises, etc...).

- Laverie commune avec deux lave-linges et deux sèche-linges.

- Transports : à 10 min à pied de la gare de Deuil-Montmagny (connexion Paris Gare du Nord en 14 min tous les 1/4h), bus direct à 100m pour l'université de Villetaneuse et Saint-Denis.

-Loyer : 700 euros dont 50 euros de charges incluant internet, l'eau et Electricité
- Caution : 2 mois de loyer hors charge soit 1300€

- APL possibles.

Dépôt de garantie : 1.200 €

Dossier complet demandé lors de la visite :
- votre situation (Étudiant, CDI ou CDD)
- votre revenu mensuel
- la situation de votre garant (CDD ou CDI)
- le revenu mensuel de votre garant.","['Deuil - Montmagny', 'Mairie de Pierrefitte', 'Epinay - Villetaneuse']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n700 € / mois', 'Dont charges\n50 € / mois', 'Dépôt de garantie\n1.300 €']","{'energy': 'Not Available', 'GES': 'Not Available'}",Réf. : E31/0752 / 28 février 2024,,,
Location meublée appartement 5 pièces 150 m² Le Port-Marly (78560),1500,Le Port-Marly (78560),"['5 pièces', '3 chambres', '150 m²']","150 m² Meublé. Libre 2 mois.

Appartement meublé ATYPIQUE de 150 m² avec étage.
A 2 km du RER St Germain en Laye, 2 km du RER Le Vésinet-Le Pecq, 400 m des bus.

Convient parfaitement pour longue villégiature, ou attente de nouveau logement, ou déplacement professionnel, etc.
Calme quasi total. Environnement verdoyant et calme. Rue piétonne et cycliste uniquement. École, supermarché et commerces entre 2 et 5 min à pied. Parkings gratuits à 1 min à pied.
Période libre prévue en janvier février. Pas de courts séjours. Autre location seulement en mai/juin.
Bail mobilité ou meublé.
A l'étage, séjour-cuisine 50 m² avec 14 fenêtres double vitrage, véranda 20 m², terrasse 15 m², terrasse 50 m² sur le toit. En dessous, 3 chambres avec lit double, grande salle de bains avec baignoire et douche, buanderie. Hublots.
Wi-Fi, climatisation chaud/froid (4 appareils).
9 / 13 h et 16 / 21 h","['Le Vésinet - Le Pecq', 'Marly-le-Roi', 'Saint-Germain-en-Laye']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.500 € / mois', 'Dont charges\n500 € / mois', 'Dépôt de garantie\n1.500 €']","{'energy': 'D', 'GES': 'D'}",Réf. : E37/0948 / 28 février 2024,,,
Location meublée appartement 3 pièces 58 m² Conflans-Sainte-Honorine (78700),1275,Conflans-Sainte-Honorine (78700),"['3 pièces', '2 chambres', '58 m²']","Appartement 3 pièces 56m2 refait à neuf
3 étages (sans ascenseur).
Cuisine équipée
Lave vaisselle
Plaque de cuisson électrique
Four électrique
Frigo
Congélateur
Cafetière
Vaisselle assiettes fourchettes cuillères couteaux bol verre poêle casserole
Une table à manger debout avec 2 tabourets
La salle un meuble mural avec écran plat
Une table et six chaises
Un balconnet
Une salle de bains avec un lave linge un sèche linge une douche une vasque avec meuble de rangement et miroir
Une chambre avec un lit de rangements (180cm par 200cm)
Matelas neuf couette et oreiller neuf
Un cabinet de toilette avec une vasque avec meuble de rangement et miroir
Aspirateur fer à repasser table à repasse et nécessaire de nettoyage
Une loggia
Toutes les fenêtres en pvc double vitrage
Volet électrique
Une cave
Place de parking
Un interphone
Chauffage aux sols collectifs.

A 3 min de la SNCF ligne Paris Saint-Lazare ou à Conflans fin d'Oise la correspondance ligne A RER.
Loyer charges compris 1275€/mois.
État des lieux par huissier de justice : 350€ environ.
Prévoir un budget de 3795 € à l'entrée (1275€ premier mois avec charges plus deux mois de caution 2170€ plus frais état des lieux 350€).
Vous pouvez m'envoyer des SMS pour questions
Mr belmonte","['Conflans - Sainte-Honorine', 'Conflans - Fin d’Oise', 'Neuville - Université']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.275 € / mois', 'Dont charges\n190 € / mois', 'Dépôt de garantie\n2.170 €']","{'energy': 'Not Available', 'GES': 'Not Available'}",Réf. : D46/1377 / 28 février 2024,,,
Location meublée maison 200 m² A Partager Noisy-Le-Grand (93160),650,Noisy-le-Grand (93160),"['7 pièces', '1 chambre', '200 m²', 'Terrain 70 m²']","Grande maison 200m2 cosy et meublée a partager 7 pièces et jardin au calme - quartier Marnois/Noisy

7 Rue de Stalingrad, Noisy-le-Grand, IDF 93160

Grande maison premium meublée :

English spoken ! Foreign students welcome ! Direct Propriétaire.

Visite virtuelle disponible et plus d'infos ! rendez-vous sur :
https://laguesthouse.hd.pics/noisy

Maison cosy 7 pièces avec jardin au calme.

Venez découvrir cette colocation de 7 chambres de 190 m². La colocation dans cette maison s'étend sur trois niveaux et dispose également d'un jardin arrière et terrasse avant.
Sécurisée : Porte blindée, Interphone, code accès porte entrée, Vidéo-protection 24/24.

Les chambres chaleureuses :
Les chambres se situent aux rez-de-chaussée et 1er étage, serrures individuelles.
Elles sont meublées avec grand lit simple 120x190, matelas 20cm, bureau, miroir, dressing.
Literie neuve.

Les espaces communs :
Ce niveau se caractérise principalement par un grand séjour lumineux avec une cuisine semi-ouverte. Le salon est meublé avec un élégant canapé, une télévision à écran plat montée au mur, ainsi qu'une table à manger.
Un espace chill confortable à l'écart de la salle TV.
La cuisine est équipée d'un réfrigérateur américain, d'un micro-ondes (x2), de plaques de cuisson(x2) et d'un lave-vaisselle. tout l'équipement nécessaire pour se faire de bons plats
la buanderie dispose de machine à laver (x2) et sèche-linge.

Sanitaires :
Salle de bains avec sèche-serviettes x2
Wc séparés x2.

Le quartier :
Pour répondre à tous vos besoins du quotidien, la colocation bénéficie d'un emplacement idéal, étant à proximité à pied :
- arrêt de bus 220, 320, N34 (arrêt Pointe de Gournay) 3 min.
- Supermarché Super U + Kebab + Tabac (2 min), G20 +Pharmacie + Boulangerie (8 min).
- Point relais colis Amazon (1 min)
- Laverie (2 min)
- Supermarché Picard (2 min)
De plus, vous découvrirez à proximité les bords de Marne, un lieu propice aux promenades 12 min.
Dans un rayon de 15 min de marche, Gare Noisy-Champs (RER A) + Centre Commercial + Futur métro L15-16
Vous serez proches des universités / écoles ENPC, UPEM, ESIEE, ENSA, ESO Suposteo, 15 min
Disneyland Paris en 20 min.

Services et équipements :
Internet Fibre Wifi-6 (inclus)
Chauffage, Eau, Électricité (inclus)
Assurance Habitation (inclus)
Ménage Hebdomadaire partie communes (inclus)
Ménage Partie privatives (Option payante)
Netflix (inclus).

Profils :
La colocation n'est pas adaptée pour accueillir des enfants ou animaux, les personnes non respectueuses des autres colocataires et de la propreté des lieux.
Pacte de colocation à l'entrée.

Finances :
- Bail individuel à la chambre.
- Pas de caution solidaire, chacun est libre de partir quand il veut, à condition de respecter un mois de préavis.
- Garant ou Assurance type LouerAgile (Jinka); GarantMe ; Visale
- caution de 1.5 mois hors charges.
- Montant des charges : 50 € / mois (inclus)
- Modalité de récupération des charges locatives : forfait.

Pour candidater :
- Pièce d'identité
- Justificatif de statut étudiant si non-salarié
- Contrat de travail CDI + 3 dernières fiches de paie
- dernier avis d'imposition
- Même documents demandés pour les garants, ou bien
- Si la garantie est assurée par une assurance (Jinka; GarantMe; Visale ; etc..) fournir l'attestation de prise en charge de votre dossier.

Consommation énergétique classe -B-
Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 830 et 1160 par an. Prix moyens des énergies indexés sur l'année 2021 (abonnements compris).

Chambres en colocation.","['Noisy - Champs', 'Noisy-le-Grand - Mont d’Est', 'Les Yvris Noisy le Grand']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n650 € / mois', 'Dont charges\n50 € / mois', 'Dépôt de garantie\n1.050 €']","{'energy': 'B', 'GES': 'A'}",Réf. : F14/0487 / 28 février 2024,,,
Location meublée maison 80 m² Gassin (83580),1950,Gassin (83580),"['3 pièces', '2 chambres', '80 m²', 'Terrain 50 m²']","Maison meublée à Gassin village (plus beau village de France) avec jardin (à 10 min de Saint-Tropez, des plages) décoration soignée et toute équipée.

A proximité des restaurants, plages à 10 minutes, écoles, commerces, centre commercial La Foux, terrain de jeux et salle de sport
Accès gares et aéroports directs.

Elle comprend : Rez-de-chaussée : séjour/cheminée avec deux portes fenêtres ouvertes sur tonnelle glycine et jardinet, cuisine américaine équipée, buanderie et wc.

Étage : 1 chambre avec salle de douche, wc.
1 grande chambre avec son salon, balcon et salle de bains ouverte sur la chambre.
Libre.
Charges additionnelles (EDF, eau, frais entretien jardin et ménage)

Offre Spéciale : En cas de location longue durée (Bail 1 an ou plus) : remise de 10% pour un paiement d'avance pour 12 mois.","['Conditions financières\nLoyer charges comprises\n1.950 € / mois\nDont charges\n200 € / mois\nDépôt de garantie\n3.000 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.950 € / mois\nDont charges\n200 € / mois\nDépôt de garantie\n3.000 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG', 'Conditions financières\nLoyer charges comprises\n1.950 € / mois\nDont charges\n200 € / mois\nDépôt de garantie\n3.000 €\nClasse énergie\nA\nB\nC\nD\nE\nF\nG']","['Ajouter à mes favoris', 'Imprimer la fiche', 'Envoyer à un ami', 'Loyer charges comprises\n1.950 € / mois', 'Dont charges\n200 € / mois', 'Dépôt de garantie\n3.000 €']","{'energy': 'Not Available', 'GES': 'Not Available'}",Réf. : B48/0103 / 28 février 2024,,,
